,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,VARIETE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_LONG,COND_UNITE_LIBELLE_COURT,GENCOD,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,RIDET,TYPE_ADRESSE,NUM_VOIE,TYPE_VOIE,NOM_VOIE,COMPLEMENT_ADRESSE,QUARTIER,CODE_POSTAL,COMMUNE,LONGITUDE,LATITUDE
0,41202,céréale Kellogg's corn flakes paquet 460 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,céréale petit déj : nature,IMPORT,Sec,Kellogg's,0.46,Kilogramme,kg,9310055416741,575,2014-04-07 00:00:00.000,0,N,,CARREFOUR EXPRESS PAITA (ancien ARIZONA PAITA),832956007.0,PHYSIQUE,,promenade,,,,,Païta,166.367278,-22.129734
1,138518,croûton de pain Vico nature sachet 110 g,épicerie salée,"soupe, croûton","soupe, croûton",crouton,crouton,IMPORT,Sec,Vico,0.11,Kilogramme,kg,3336970509135,350,2014-05-26 00:00:00.000,0,N,,CARREFOUR EXPRESS NAKUTAKOIN,832956004.0,PHYSIQUE,,route,de Nakutakoin - baie de nouré,,Baie des Citrons,,Dumbéa,166.415695,-22.173535
2,135865,rillette de crabe Petit Navire pot 1/6 125 g,épicerie salée,conserves et bocaux,conserve de poisson,conserve de poisson,"conserve de poisson : tartinable, rillettes",IMPORT,Sec,Petit Navire,0.125,Kilogramme,kg,3019080006359,490,2017-01-24 00:00:00.000,0,N,,SUPER NORD (VIVAL KOUMAC) Fermé,185512001.0,PHYSIQUE,,route,Village,,Centre-Ville,,Koumac,164.281,-20.562
3,45709,boisson aux fruits Golden Circle orange brique 1 l,boisson,boisson sans alcool,jus de fruits et légumes,boisson aux fruits,boisson à l'orange,IMPORT,Sec,Golden Circle,1.0,Litre,l,9310179006682,270,2017-02-17 00:00:00.000,0,,,JOHNSTON,366443001.0,PHYSIQUE,8,rue,Anatole France,,Centre-Ville,,Nouméa,166.438187,-22.272201
4,160337,flocon d'avoine Jardin Bio sachet 500 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,céréale petit déj : nature,IMPORT,Sec,Jardin Bio',0.5,Kilogramme,kg,3760020503826,695,2017-07-10 00:00:00.000,0,N,,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),474460002.0,PHYSIQUE,21-23,rue,de l'Alma,,Centre-Ville,,Nouméa,166.439959,-22.269194
5,45709,boisson aux fruits Golden Circle orange brique 1 l,boisson,boisson sans alcool,jus de fruits et légumes,boisson aux fruits,boisson à l'orange,IMPORT,Sec,Golden Circle,1.0,Litre,l,9310179006682,299,2018-09-17 00:00:00.000,0,N,A,ARIZONA MONT-DORE,832956008.0,PHYSIQUE,174,route,de la Corniche,,Portes d'or,,Mont-Dore,166.577688,-22.240721
6,196233,fromage saint paulin Merci chef! sous-vide 200 g,crémerie,fromage,fromage,fromage : autres,fromage : autres,IMPORT,Frais,,0.2,Kilogramme,kg,3523230037075,210,2019-06-25 00:00:00.000,0,N,A,CARREFOUR MARKET MAGENTA,474460008.0,PHYSIQUE,50,rue,du 18 juin,,Magenta,,Nouméa,166.463054,-22.27166
7,46218,biscuit apéritif Biguns barbecue paquet 180 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,biscuit soufflé,LOCAL,Sec,Biguns,0.18,Kilogramme,kg,3760006880132; 5000159024471; 5000159316323; 9400566262057; 9400566262125,355,2020-01-28 00:00:00.000,0,N,A,SUPER U RIVIERE SALEE,524611001.0,PHYSIQUE,53,avenue,BONAPARTE,,Rivière Salée,,Nouméa,166.464522,-22.23368
8,160337,flocon d'avoine Jardin Bio sachet 500 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,céréale petit déj : nature,IMPORT,Sec,Jardin Bio',0.5,Kilogramme,kg,3760020503826,640,2020-08-04 00:00:00.000,0,N,A,CARREFOUR MARKET MAGENTA,474460008.0,PHYSIQUE,50,rue,du 18 juin,,Magenta,,Nouméa,166.463054,-22.27166
9,46256,betterave D'Aucy en dés 1/2 conserve 265 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,conserve de légume : betterave,IMPORT,Sec,D'Aucy,0.265,Kilogramme,kg,3017800097663,205,2021-03-10 00:00:00.000,0,N,A,ARIZONA MONT-DORE,832956008.0,PHYSIQUE,174,route,de la Corniche,,Portes d'or,,Mont-Dore,166.577688,-22.240721
