,CODE_PRODUIT,NOM,SECTEUR_CONSO,SOUS_SECTEUR_CONSO,FAMILLE_PRODUIT,SOUS_FAMILLE,CATEGORIE,DEPARTEMENT,MARQUE,CONDITIONNEMENT,COND_UNITE_LIBELLE_COURT,PRIX_RELEVE,DATE_RELEVE,PROMOTION,TOP_500,TYPE_RELEVE,RAISON_SOCIALE,TYPE_ADRESSE,QUARTIER,COMMUNE,LONGITUDE,LATITUDE
0,41202,céréale Kellogg's corn flakes paquet 460 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,IMPORT,Sec,Kellogg's,0.46,kg,575,2014-04-07 00:00:00.000,0,N,,CARREFOUR EXPRESS PAITA (ancien ARIZONA PAITA),PHYSIQUE,,Païta,166.367278,-22.129734
1,138518,croûton de pain Vico nature sachet 110 g,épicerie salée,"soupe, croûton","soupe, croûton",crouton,IMPORT,Sec,Vico,0.11,kg,350,2014-05-26 00:00:00.000,0,N,,CARREFOUR EXPRESS NAKUTAKOIN,PHYSIQUE,Baie des Citrons,Dumbéa,166.415695,-22.173535
2,135865,rillette de crabe Petit Navire pot 1/6 125 g,épicerie salée,conserves et bocaux,conserve de poisson,conserve de poisson,IMPORT,Sec,Petit Navire,0.125,kg,490,2017-01-24 00:00:00.000,0,N,,SUPER NORD (VIVAL KOUMAC) Fermé,PHYSIQUE,Centre-Ville,Koumac,164.281,-20.562
3,45709,boisson aux fruits Golden Circle orange brique 1 l,boisson,boisson sans alcool,jus de fruits et légumes,boisson aux fruits,IMPORT,Sec,Golden Circle,1.0,l,270,2017-02-17 00:00:00.000,0,,,JOHNSTON,PHYSIQUE,Centre-Ville,Nouméa,166.438187,-22.272201
4,160337,flocon d'avoine Jardin Bio sachet 500 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,IMPORT,Sec,Jardin Bio',0.5,kg,695,2017-07-10 00:00:00.000,0,N,,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
5,45709,boisson aux fruits Golden Circle orange brique 1 l,boisson,boisson sans alcool,jus de fruits et légumes,boisson aux fruits,IMPORT,Sec,Golden Circle,1.0,l,299,2018-09-17 00:00:00.000,0,N,A,ARIZONA MONT-DORE,PHYSIQUE,Portes d'or,Mont-Dore,166.577688,-22.240721
6,196233,fromage saint paulin Merci chef! sous-vide 200 g,crémerie,fromage,fromage,fromage : autres,IMPORT,Frais,,0.2,kg,210,2019-06-25 00:00:00.000,0,N,A,CARREFOUR MARKET MAGENTA,PHYSIQUE,Magenta,Nouméa,166.463054,-22.27166
7,46218,biscuit apéritif Biguns barbecue paquet 180 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,LOCAL,Sec,Biguns,0.18,kg,355,2020-01-28 00:00:00.000,0,N,A,SUPER U RIVIERE SALEE,PHYSIQUE,Rivière Salée,Nouméa,166.464522,-22.23368
8,160337,flocon d'avoine Jardin Bio sachet 500 g,épicerie sucrée,céréale petit déjeuner,céréale petit déjeuner,céréale petit déjeuner,IMPORT,Sec,Jardin Bio',0.5,kg,640,2020-08-04 00:00:00.000,0,N,A,CARREFOUR MARKET MAGENTA,PHYSIQUE,Magenta,Nouméa,166.463054,-22.27166
9,46256,betterave D'Aucy en dés 1/2 conserve 265 g,épicerie salée,conserves et bocaux,conserve de légume,conserve de légume,IMPORT,Sec,D'Aucy,0.265,kg,205,2021-03-10 00:00:00.000,0,N,A,ARIZONA MONT-DORE,PHYSIQUE,Portes d'or,Mont-Dore,166.577688,-22.240721
10,46218,biscuit apéritif Biguns barbecue paquet 180 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,LOCAL,Sec,Biguns,0.18,kg,390,2021-05-11 00:00:00.000,0,N,A,STATION PACIFIC ENERGY BACO,PHYSIQUE,,Koné,164.896561,-21.100769
11,45709,boisson aux fruits Golden Circle orange brique 1 l,boisson,boisson sans alcool,jus de fruits et légumes,boisson aux fruits,IMPORT,Sec,Golden Circle,1.0,l,305,2022-07-05 00:00:00.000,0,N,T,STATION TOTAL FAUBOURG,PHYSIQUE,Faubourg blanchot,Nouméa,166.453208,-22.282192
12,224066,épice mélangée Sainte Lucie pour salade flacon 12 g,épicerie salée,"assaisonnement, condiment, aide culinaire","herbe et épice culinaire, sel, poivre",épice culinaire,IMPORT,Sec,Sainte Lucie,0.012,kg,380,2022-10-18 00:00:00.000,0,N,A,MAGENTA DISCOUNT,PHYSIQUE,6e kilomètre,Nouméa,166.468288,-22.24403
13,241678,bonbon Haribo happy monsters sachet 220 g,épicerie sucrée,"chocolat, confiserie",confiserie,bonbon,IMPORT,Sec,Haribo,0.22,kg,450,2022-12-07 00:00:00.000,0,N,A,CARREFOUR MARKET N'GEA,PHYSIQUE,Faubourg blanchot,Nouméa,166.456598,-22.285624
14,195715,thé vert U green flower sachet x25 ,épicerie sucrée,"café, thé, boisson chaude","thé, infusion",thé,IMPORT,,,25.0,u,225,2023-05-09 00:00:00.000,0,N,A,SUPER U KAMERE,PHYSIQUE,Kaméré,Nouméa,166.432669,-22.231958
15,46218,biscuit apéritif Biguns barbecue paquet 180 g,épicerie salée,produit apéritif,produit apéritif,biscuit apéritif,LOCAL,Sec,Biguns,0.18,kg,430,2023-08-02 00:00:00.000,0,N,A,POINDIMIE DISCOUNT,PHYSIQUE,,Poindimié,165.333178,-20.937187
16,135062,brioche Harry's tranchée sachet 500 g,"pain, viennoiserie, pâtisserie","pain, viennoiserie, pâtisserie",viennoiserie et brioche,brioche,IMPORT,Sec,,0.5,kg,780,2013-11-07 00:00:00.000,0,N,,BOURAIL DISCOUNT,PHYSIQUE,,Bourail,165.496776,-21.567371
17,54178,jus de fruits Oro pomme/mangue bouteille 1 l,boisson,boisson sans alcool,jus de fruits et légumes,jus de fruits,LOCAL,Sec,Oro,1.0,l,210,2016-06-20 00:00:00.000,0,N,,ARIZONA MONT-DORE,PHYSIQUE,Portes d'or,Mont-Dore,166.577688,-22.240721
18,46404,pâte spaghetti Eco Bleu sachet 450 g,épicerie salée,"pâte, riz, purée, céréale",pâte sèche,pâte longue,IMPORT,Sec,Eco,0.45,kg,185,2016-12-26 00:00:00.000,0,N,,CARREFOUR MARKET ALMA (ANCIEN CHAMPION),PHYSIQUE,Centre-Ville,Nouméa,166.439959,-22.269194
19,135062,brioche Harry's tranchée sachet 500 g,"pain, viennoiserie, pâtisserie","pain, viennoiserie, pâtisserie",viennoiserie et brioche,brioche,IMPORT,Sec,,0.5,kg,840,2019-07-31 00:00:00.000,0,N,A,CARREFOUR KENU IN,PHYSIQUE,Centre-Ville,Dumbéa,166.473018,-22.222647
20,211622,sirop Belle France grenadine bouteille 75 cl,boisson,boisson sans alcool,sirop et concentré,sirop aromatisé,IMPORT,Sec,Belle France,0.75,l,251,2019-07-22 00:00:00.000,0,N,T,JOHNSTON,PHYSIQUE,Centre-Ville,Nouméa,166.438187,-22.272201
21,195213,biscuit cookie Carrefour aux pépites de chocolat/noisettes paquet 200 g,épicerie sucrée,"biscuit et gâteau, barre de céréales","biscuit fourré, nappé","biscuit fourré, nappé",IMPORT,Sec,Carrefour,0.2,kg,340,2023-03-08 00:00:00.000,0,N,A,CARREFOUR MARKET Orphelinat,PHYSIQUE,Orphelinat,Nouméa,166.445296,-22.283924
