annee,mois,regroupement1,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,besoin_marche_t,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t
2012,12,MELON,TOTAL FRUITS (HORS VANILLE),12818.0,20123.0,8429580.0,418.90274809919,25.0,,,,
2012,4,MELON,TOTAL FRUITS (HORS VANILLE),3967.0,1828.0,773650.0,423.22210065645515,25.0,,,,
2012,3,MELON,TOTAL FRUITS (HORS VANILLE),,436.0,202900.0,465.3669724770642,25.0,,,,
2012,11,MELON,TOTAL FRUITS (HORS VANILLE),28973.0,10679.0,7962946.0,745.6640134844087,25.0,,,,
2012,6,MELON,TOTAL FRUITS (HORS VANILLE),4100.0,2407.0,1049800.0,436.144578313253,25.0,,,,
2012,7,MELON,TOTAL FRUITS (HORS VANILLE),,4588.772949,1899239.5,413.88831417642666,25.0,,,,
2012,12,NAVET,TOTAL LEGUMES,,2152.0,442000.0,205.3903345724907,6.0,,,,
2012,7,NAVET,TOTAL LEGUMES,2975.0,10172.2998,2006639.0,197.2650275211118,6.0,,,,
2012,8,NAVET,TOTAL LEGUMES,,8720.799805,1246940.0,142.98459176703918,6.0,,,,
2012,3,NAVET,TOTAL LEGUMES,4395.0,3530.0,723115.0,204.8484419263456,6.0,,,,
2012,2,NAVET,TOTAL LEGUMES,595.0,589.0,103310.0,175.39898132427845,6.0,,,,
2012,4,RADIS,TOTAL LEGUMES,339.0,402.5,132900.0,330.18633540372673,2.0,,,,
2012,11,RADIS,TOTAL LEGUMES,1162.0,1598.0,590930.0,369.793491864831,2.0,,,,
2012,9,RADIS,TOTAL LEGUMES,646.0,2259.599854,702960.0,311.0993297134458,2.0,,,,
2012,6,RADIS,TOTAL LEGUMES,1032.0,589.3999634,151980.0,257.8554622285543,2.0,,,,
2012,10,RADIS,TOTAL LEGUMES,748.0,1232.699951,454720.0,368.88133209636186,2.0,,,,
2012,7,ANANAS,TOTAL FRUITS (HORS VANILLE),29294.0,14816.7168,5212361.0,351.78920339491134,50.0,,,,
2012,5,ANANAS,TOTAL FRUITS (HORS VANILLE),35750.0,15713.0,5766915.0,367.01552854324444,50.0,,,,
2012,8,ANANAS,TOTAL FRUITS (HORS VANILLE),35790.0,11456.5,3857305.0,336.6913978963907,50.0,,,,
2012,3,ANANAS,TOTAL FRUITS (HORS VANILLE),14535.0,4988.189941,1893909.5,379.6787055827953,50.0,,,,
2012,9,ANANAS,TOTAL FRUITS (HORS VANILLE),46941.0,21835.5,7519840.0,344.3859769641181,50.0,,,,
2012,2,ANANAS,TOTAL FRUITS (HORS VANILLE),13760.0,12298.149902000001,3231555.0,262.7675728260935,50.0,,,,
2012,7,AVOCAT,TOTAL FRUITS (HORS VANILLE),5810.0,925.6099854,318796.5,344.41774076392755,10.0,,,,
2012,8,AVOCAT,TOTAL FRUITS (HORS VANILLE),3720.0,184.5,71230.0,386.07046070460706,10.0,,,,
2012,5,AVOCAT,TOTAL FRUITS (HORS VANILLE),10510.0,4307.899902,1470695.0,341.39488694182756,10.0,,,,
2012,2,AVOCAT,TOTAL FRUITS (HORS VANILLE),3408.0,2447.5,928045.0,379.18079673135856,10.0,,,,
2012,7,CELERI,TOTAL LEGUMES,7662.0,2260.100098,843845.0,373.3662065440077,,,,,
2012,2,CELERI,TOTAL LEGUMES,,50.0,24000.0,480.0,,,,,
2012,9,CELERI,TOTAL LEGUMES,6682.0,2888.699951,976456.0,338.0261074404678,,,,,
2012,11,LETCHI,TOTAL FRUITS (HORS VANILLE),41270.0,6882.5,4554725.0,661.7835088993825,70.0,,,,
2012,7,ORANGE,TOTAL FRUITS (HORS VANILLE),86538.0,87090.75,16022820.0,183.97843628628758,110.0,,,,
2012,5,ORANGE,TOTAL FRUITS (HORS VANILLE),125890.0,60536.099976,12461294.0,205.84897284331788,110.0,,,,
2012,12,ORANGE,TOTAL FRUITS (HORS VANILLE),,43477.5,8914685.0,205.0413432235064,110.0,,,,
2012,9,ORANGE,TOTAL FRUITS (HORS VANILLE),165360.0,64049.0,12478500.0,194.8273977735796,110.0,,,,
2012,8,ORANGE,TOTAL FRUITS (HORS VANILLE),146220.0,63333.7002,11525386.0,181.97872481166038,110.0,,,,
2012,10,PAPAYE,TOTAL FRUITS (HORS VANILLE),10410.0,6520.1999510000005,841994.0,129.1362237857236,15.0,,,,
2012,11,PAPAYE,TOTAL FRUITS (HORS VANILLE),10855.0,7410.0,922995.0,124.56072874493927,15.0,,,,
