annee,mois,regroupement2,poids_enquete_kg,poids_mg_kg,valeur_tot_mg_fr,valeur_moy,indice_isee,indice_mg,quotas_date_debut,quotas_date_fin,quotas_contingent_t,quotas_realise_t
2012,5,TOTAL LEGUMES,478444.39999999997,187734.39421961998,56826095.5,302.69411066744823,94.52672595914741,,,,,
2012,1,TOTAL LEGUMES,343850.0,296417.0,89563638.0,302.15418818758707,98.80399125314585,,,,,
2012,8,TOTAL LEGUMES,760920.5,377513.6325242879,106359231.5,281.73613437166995,88.1903466488601,,,,,
2012,6,TOTAL LEGUMES,530489.0,315026.6214444847,97550763.0,309.65879185924865,89.77234888088692,,,,,
2012,7,TOTAL LEGUMES,695159.7000000001,351144.49865231314,111428384.90014601,317.3291489053832,89.64679314818638,,,,,
2012,9,TOTAL LEGUMES,850450.0,517984.91613945394,116710464.0,225.31633714325912,84.39856352130376,,,,,
2012,3,TOTAL LEGUMES,382093.4,228927.41979300277,64528165.0,281.8717175004491,95.30517150189077,,,,,
2013,1,TOTAL LEGUMES,468893.1999999999,399847.0,117647759.0,294.2319412175157,97.15502596367874,,,,,
2013,6,TOTAL LEGUMES,566462.0,284778.60352511,93912137.175176,329.7724478338325,100.20184507721187,,,,,
2013,11,TOTAL LEGUMES,837099.4,471199.0,114163916.0,242.28386732569467,84.09722976282247,,,,,
2013,5,TOTAL LEGUMES,578449.2,219305.7922278991,74092469.35159999,337.8500339589949,99.86702979001043,,,,,
2013,8,TOTAL LEGUMES,607738.5,344312.6254548612,124843827.859888,362.58858557672846,97.9334715064221,,,,,
2014,5,TOTAL LEGUMES,600101.2,246471.0,73504320.0,298.2270530812956,92.5513157646589,,,,,
2014,1,TOTAL LEGUMES,500010.8,325257.0,108405883.0,333.2930052235617,90.80190588903136,,,,,
2015,5,TOTAL LEGUMES,527445.6,189821.0,67690343.0,356.6009187603058,91.09486926533262,,,,,
2015,8,TOTAL LEGUMES,1021426.15,358040.0,95312090.0,266.20514467657244,85.46997244034839,,,,,
2015,9,TOTAL LEGUMES,1019238.0,483204.1,115491903.0,239.01267187095476,85.58715779086889,,,,,
2015,7,TOTAL LEGUMES,806016.1,270535.0,78988007.0,291.9696416360175,86.91804855749461,,,,,
2015,2,TOTAL LEGUMES,329845.25,148537.0,58603898.0,394.54074069087164,101.0891055882957,,,,,
2016,6,TOTAL LEGUMES,676781.1000000001,203227.0,65334541.0,321.4855358785988,90.92746162173191,,,,,
2016,5,TOTAL LEGUMES,451045.64999999997,117738.0,39950277.0,339.3150639555623,94.12494761450569,,,,,
2016,11,TOTAL LEGUMES,940311.0,230474.0,62688681.0,271.9989282955995,87.01849314365505,,,,,
2017,4,TOTAL LEGUMES,336755.80000000005,112151.25,48465713.0,432.1459903478561,101.47414316857736,,,,,
2017,1,TOTAL LEGUMES,534079.5500000002,304060.0,101826443.0,334.8893080313096,99.66614061768956,,,,,
2017,6,TOTAL LEGUMES,540004.4,221217.0,85163646.0,384.97785432403475,104.65488839699107,,,,,
2018,12,TOTAL LEGUMES,843802.2000000001,134476.15000000002,47033638.0,349.75449549975957,94.64391130966791,,,,,
2018,5,TOTAL LEGUMES,575359.7,197388.94999999995,77715001.0,393.71505345157374,103.04777501842415,,,,,
2018,9,TOTAL LEGUMES,1280188.8,192757.54999999993,53738192.0,278.7864444220214,86.55812212375307,,,,,
2018,7,TOTAL LEGUMES,907600.4,145113.3,46510305.0,320.51028403323477,92.59316767555909,,,,,
2018,11,TOTAL LEGUMES,964890.4,180691.25,51854859.0,286.98046529646564,87.83042021511855,,,,,
2018,3,TOTAL LEGUMES,425359.4,160411.75,76605957.0,477.5582649026646,110.21282216453501,,,,,
2018,10,TOTAL LEGUMES,1264185.6,243546.75,55869137.0,229.39799853621534,84.32323008168343,,,,,
2018,4,TOTAL LEGUMES,494295.9,171947.44999999998,79960330.0,465.0277163168166,111.84504668964206,,,,,
2019,2,TOTAL LEGUMES,384601.9,134819.3,44654903.0,331.2204039035954,94.29235525810641,,,,,
2020,11,TOTAL LEGUMES,910839.0,239361.14000000004,77886357.0,325.392655633241,94.13956047919443,87.2894010920788,,,,
2020,1,TOTAL LEGUMES,763736.5,208161.0,72124804.0,346.48567214800084,98.83345502326694,99.4167006138312,,,,
2020,12,TOTAL LEGUMES,774353.0,266373.11,96305927.0,361.5452287958045,108.02206384325514,99.11932853454411,2020-12-16,2021-01-15,343.384,80.31700000000001
2020,9,TOTAL LEGUMES,1143890.9,304968.68,88264350.0,289.42103169413986,89.1970134291247,76.78856924334396,,,,
2020,4,TOTAL LEGUMES,483616.0,157866.65,63700406.0,403.507681958159,99.67588523089711,111.05762209010936,,,,
2020,2,TOTAL LEGUMES,424659.0,59983.850000000006,23648747.0,394.251902803838,97.95519779623157,115.0444686748305,,,,
2020,6,TOTAL LEGUMES,756125.5,88572.70000000003,35029796.0,395.49201955004185,100.83403272835143,112.07010392207788,,,,
2020,3,TOTAL LEGUMES,435252.0,125157.59999999999,53938494.0,430.9645918426049,103.7076921207433,120.50736956038348,,,,
2021,10,TOTAL LEGUMES,979808.2,347528.3,92631498.0,266.54375485392126,83.10870334285713,75.01594574724213,2021-10-16,2021-11-15,153.24,0.0
2021,8,TOTAL LEGUMES,913498.5,330275.17,105561263.0,319.616103747672,102.09740643508128,89.59413575565277,2021-08-16,2021-09-15,147.56000000000006,0.0
2021,9,TOTAL LEGUMES,1007242.0,328391.01999999996,94040522.0,286.36752003754555,91.50398502335835,76.64321232223142,2021-09-16,2021-10-15,120.79999999999998,0.0
2021,2,TOTAL LEGUMES,239374.1,86589.28000000001,50546154.0,583.7460942047329,128.31626684294167,146.20465599795284,2021-02-16,2021-03-15,1089.5599999999997,0.0
2021,7,TOTAL LEGUMES,752065.0,258512.83,101397939.0,392.2356155398554,111.30026902271136,104.3949924078991,2021-07-16,2021-08-15,305.49000000000007,0.0
2021,1,TOTAL LEGUMES,385555.5,127398.0,58533286.0,459.4521578046751,111.82830147650036,119.08526424787078,2021-01-16,2021-02-15,885.7810000000001,637.8959999999998
2021,11,TOTAL LEGUMES,803566.5,383608.69,123249768.0,321.2903440743222,96.93799991900362,88.34764842408698,2021-11-16,2021-12-15,265.44,3.42
2021,3,TOTAL LEGUMES,291026.4,134323.6,77028345.0,573.4535479990113,131.30841252542515,151.53348188394597,2021-03-16,2021-04-15,1233.42,0.0
2022,12,TOTAL LEGUMES,516121.3,132458.19,61910778.0,467.39864103533347,129.9176728450207,121.38579491640029,2022-12-16,2023-01-15,710.475,416.516
2022,11,TOTAL LEGUMES,680657.0,188186.00000000003,74621877.0,396.5325635275737,114.1096882746976,105.54413672027208,2022-11-16,2022-12-15,560.0999999999999,252.198
2022,9,TOTAL LEGUMES,383316.0,187022.15,83816880.0,448.1655247787495,128.83162853017382,131.5313255381288,2022-09-16,2022-10-15,516.6600000000001,248.37099999999998
2023,3,TOTAL LEGUMES,481054.4,130921.09999999998,63958921.0,488.5302751046242,136.29820888265604,128.19184814056982,2023-03-16,2023-04-15,902.2000000000002,343.218
2023,4,TOTAL LEGUMES,490524.10000000003,112596.15999999999,53606841.0,476.09830566157854,133.2204603691597,128.39590615656695,2023-04-16,2023-05-15,878.675,247.07599999999996
2023,7,TOTAL LEGUMES,,157300.91999999998,68282358.0,434.0874675113153,,,,,,
2012,4,TOTAL FRUITS (HORS VANILLE),318298.0,175644.169922,41475049.0,236.1310883157592,87.90476063913046,,,,,
2012,7,TOTAL FRUITS (HORS VANILLE),324350.6,229452.6186504,53896558.1875,234.891885324779,93.83337891173271,,,,,
2012,9,TOTAL FRUITS (HORS VANILLE),385033.0,153545.219359,39906896.0938,259.9032145735176,96.26659835525308,,,,,
2012,12,TOTAL FRUITS (HORS VANILLE),642573.5,216799.57060429998,53316470.5,245.92516650926672,87.46783578549523,,,,,
2012,8,TOTAL FRUITS (HORS VANILLE),368025.0,161883.340094,38700685.625,239.06527751730266,91.55082321084518,,,,,
2012,3,TOTAL FRUITS (HORS VANILLE),325505.0,195465.11965520002,43945541.0,224.8254884427453,82.22473754187239,,,,,
2013,6,TOTAL FRUITS (HORS VANILLE),395251.0,192955.69930910497,47420465.447298,245.75830419672076,94.8729587358993,,,,,
2013,4,TOTAL FRUITS (HORS VANILLE),348000.0,188512.79752556398,47064914.90039,249.66429610174126,89.81819017056752,,,,,
2014,7,TOTAL FRUITS (HORS VANILLE),378591.0,153282.0,44762685.0,292.0283203507261,91.37002671968578,,,,,
2014,6,TOTAL FRUITS (HORS VANILLE),383121.0,187702.0,51246249.0,273.01919532024164,97.42670917352595,,,,,
2014,9,TOTAL FRUITS (HORS VANILLE),294869.0,148007.0,42795761.0,289.1468714317566,103.34779425899654,,,,,
2014,10,TOTAL FRUITS (HORS VANILLE),359352.5,182431.0,51356897.0,281.5140902587828,111.08437744319288,,,,,
2014,2,TOTAL FRUITS (HORS VANILLE),263452.0,134283.0,32660718.0,243.2230289761176,90.91803549178725,,,,,
2015,2,TOTAL FRUITS (HORS VANILLE),268936.0,123106.0,30791605.0,250.1226991373288,93.89364440878585,,,,,
2015,6,TOTAL FRUITS (HORS VANILLE),321950.0,170919.0,44996057.0,263.2595381437991,98.20262744808508,,,,,
2015,11,TOTAL FRUITS (HORS VANILLE),535557.0,156500.0,44636572.0,285.2177124600639,111.11451019171945,,,,,
2015,8,TOTAL FRUITS (HORS VANILLE),263113.0,136462.0,36202852.0,265.2962143307294,117.20885858121783,,,,,
2016,4,TOTAL FRUITS (HORS VANILLE),293720.3,192385.0,48478630.0,251.9875769940484,95.33248315092946,,,,,
2016,9,TOTAL FRUITS (HORS VANILLE),313466.0,117508.0,36559377.0,311.12245123736255,113.8867230561637,,,,,
2017,11,TOTAL FRUITS (HORS VANILLE),551798.0,193891.0,53011684.0,273.4097198941673,105.23109104190705,,,,,
2017,3,TOTAL FRUITS (HORS VANILLE),279089.0,188448.0,50474766.0,267.84453005603666,100.7413115114484,,,,,
2017,8,TOTAL FRUITS (HORS VANILLE),199031.0,91292.0,24794165.0,271.5918700433773,132.98335243487617,,,,,
2018,10,TOTAL FRUITS (HORS VANILLE),356373.1,67324.2,21033324.0,312.41847656563317,108.76415580664714,,,,,
2018,5,TOTAL FRUITS (HORS VANILLE),260335.0,134757.6,38584804.0,286.327479860134,112.17668957728097,,,,,
2019,5,TOTAL FRUITS (HORS VANILLE),347776.0,105847.0,34342550.0,324.4546373539165,106.51926604141784,,,,,
2019,2,TOTAL FRUITS (HORS VANILLE),266006.7,93939.0,26241024.0,279.34110433366334,101.0426389967141,,,,,
2019,11,TOTAL FRUITS (HORS VANILLE),662703.0,65548.0,21230065.0,323.8857783608958,103.3929933817864,,,,,
2020,12,TOTAL FRUITS (HORS VANILLE),655276.0,189889.9,60555886.0,318.89998362208837,93.08041924469919,103.76863692008132,2020-12-16,2021-01-15,273.32000000000005,0.0
2020,7,TOTAL FRUITS (HORS VANILLE),236647.0,50408.5,17309005.0,343.3747284684131,92.18914940631753,113.65283515767501,,,,
2020,2,TOTAL FRUITS (HORS VANILLE),379861.0,62312.47,15808741.0,253.70108101957763,88.92929996153708,78.69408793346173,,,,
2020,10,TOTAL FRUITS (HORS VANILLE),425794.0,101600.9,35852205.0,352.8729076218813,95.9375804661282,117.48526488885315,,,,
2020,8,TOTAL FRUITS (HORS VANILLE),337610.0,52828.799999999996,17160161.0,324.82587149433647,92.29667946994161,109.96455478425796,,,,
2020,1,TOTAL FRUITS (HORS VANILLE),518508.0,122975.0,30942250.0,251.6141492173206,89.60737022221494,82.95210641990496,,,,
2021,10,TOTAL FRUITS (HORS VANILLE),466290.0,103413.7,28509160.0,275.68068834206684,102.43242274322981,89.63550793525593,2021-10-16,2021-11-15,357.90000000000003,0.0
2021,2,TOTAL FRUITS (HORS VANILLE),314383.0,122141.3,33152865.0,271.43042525337455,90.00525639092629,84.6496921490996,2021-02-16,2021-03-15,318.665,0.0
2021,7,TOTAL FRUITS (HORS VANILLE),225031.0,82880.90000000001,28298720.0,341.4383772376989,100.9501280830357,111.41329329641849,2021-07-16,2021-08-15,256.295,0.0
2021,6,TOTAL FRUITS (HORS VANILLE),290057.0,69899.85,24091291.0,344.65440197654215,99.15421489722688,113.20009858346236,2021-06-16,2021-07-15,192.44,0.0
2021,11,TOTAL FRUITS (HORS VANILLE),492887.0,196494.1,56410309.0,287.0839836921312,103.60818945290666,93.30783194384772,2021-11-16,2021-12-15,420.1,0.0
2021,12,TOTAL FRUITS (HORS VANILLE),437170.0,143063.4,45908570.0,320.8966793743194,100.0,104.1680165250052,2021-12-01,2021-12-31,411.51000000000005,115.775
2021,5,TOTAL FRUITS (HORS VANILLE),253082.0,82844.5,30903533.0,373.03059346124365,98.925001826703,121.88644838929443,2021-05-16,2021-06-15,166.448,0.0
2022,9,TOTAL FRUITS (HORS VANILLE),211124.0,45539.35,18143630.0,398.41653427200873,106.67371695771095,130.61195432035404,2022-09-16,2022-10-15,518.4150000000001,200.75099999999998
2022,6,TOTAL FRUITS (HORS VANILLE),243834.0,73130.98999999999,28368619.0,387.9151506085177,106.79422688837255,127.23149948068095,2022-06-16,2022-07-15,162.6,43.121
2022,5,TOTAL FRUITS (HORS VANILLE),277190.0,79757.7,31522803.0,395.23209671291926,104.72579258612183,130.14721258124663,2022-05-16,2022-06-15,268.95,86.989
2023,4,TOTAL FRUITS (HORS VANILLE),213369.0,94276.45999999999,28662328.0,304.02422831744,100.23234344876607,98.38801160438719,2023-04-16,2023-05-15,277.614,50.659000000000006
2012,2,TOTAL LEGUMES,351720.5,164108.20112146504,47109362.0,287.0628139122182,94.24213296502619,,,,,
2012,12,TOTAL LEGUMES,619449.1,378692.11162186007,83089362.0,219.41138843411719,80.59003962938735,,,,,
2012,4,TOTAL LEGUMES,340793.70000000007,192072.806468321,54531861.053761005,283.9124499529561,106.9818546430411,,,,,
2013,10,TOTAL LEGUMES,864397.3999999999,586668.0,133420680.0,227.4210967702346,81.62796701971182,,,,,
2013,7,TOTAL LEGUMES,704262.6,367758.11256161606,121925974.289255,331.5385035016104,99.74147405730989,,,,,
2013,3,TOTAL LEGUMES,642566.05,252146.10961589147,79897783.225476,316.87097352875617,91.45479569907417,,,,,
2014,6,TOTAL LEGUMES,708929.4,315658.0,97538883.0,309.0017772399242,95.17124538701019,,,,,
2015,4,TOTAL LEGUMES,362098.55000000005,151547.0,67336523.0,444.3276541271025,103.74251673936713,,,,,
2016,2,TOTAL LEGUMES,468214.5,236508.0,71341200.0,301.6439190217667,93.55576162626323,,,,,
2016,10,TOTAL LEGUMES,1092725.3000000003,411659.2,100886900.0,245.07383777649085,82.66589441003629,,,,,
2016,4,TOTAL LEGUMES,398931.05,207820.0,72088480.0,346.87941487826004,109.1665243920305,,,,,
2017,3,TOTAL LEGUMES,417229.0,185933.2,74290197.0,399.5531567251034,106.18666833593767,,,,,
2017,7,TOTAL LEGUMES,842379.3,242478.0,85052851.0,350.76522818564985,96.08361704463412,,,,,
2017,8,TOTAL LEGUMES,1052586.9,360447.0,107009255.0,296.8793054179949,91.95701862987634,,,,,
2018,1,TOTAL LEGUMES,649703.8,300058.0,87398374.0,291.27160082384074,100.20184507721187,,,,,
2018,8,TOTAL LEGUMES,1091080.6,75667.75000000001,19270644.0,254.67446831708352,90.34990525130941,,,,,
2018,2,TOTAL LEGUMES,436155.4,165692.69999999998,65242859.0,393.7581981583981,102.52044094108187,,,,,
2019,11,TOTAL LEGUMES,1210497.5,146659.05,38227949.0,260.658643295453,85.1267867709669,,,,,
2019,8,TOTAL LEGUMES,1038982.4,217178.35000000003,67952382.0,312.887458625595,95.34702341279095,,,,,
2019,6,TOTAL LEGUMES,658110.1000000001,138659.55,49069836.0,353.88717185365164,95.67346831781236,,,,,
2019,7,TOTAL LEGUMES,933797.9,170576.4,57352665.8,336.2286095849133,96.0082836050138,,,,,
2020,10,TOTAL LEGUMES,1044939.0,295399.41,74307282.0,251.54851189445506,83.6236829720494,68.74201365632344,,,,
2021,12,TOTAL LEGUMES,506298.0,187567.17,69048504.0,368.1268102514955,100.0,91.91063402845367,2021-12-16,2022-01-15,678.5999999999999,1385.5889999999997
2021,4,TOTAL LEGUMES,316173.4,146210.87,76523921.0,523.3805188355695,125.9106879208049,134.6961664791013,2021-04-16,2021-05-15,1207.55,0.0
2022,2,TOTAL LEGUMES,328508.5,108496.39,57145556.0,526.7046765334773,131.3734246328611,128.4982611188432,2022-02-16,2022-03-15,1279.6500000000003,454.96799999999996
2022,4,TOTAL LEGUMES,353177.1,96591.05,52174405.0,540.1577578875061,133.74250922475994,147.0,2022-04-16,2022-05-15,993.29,366.87699999999995
2022,3,TOTAL LEGUMES,339157.0,106290.05,59675407.0,561.4392598366451,130.63545428816784,138.80330006798062,2022-03-16,2022-04-15,1117.7999999999997,350.992
2022,7,TOTAL LEGUMES,564254.5,147399.38,68039515.0,461.5997367153105,122.86855988310438,116.21493317318405,2022-07-16,2022-08-15,469.47,199.28900000000004
2023,6,TOTAL LEGUMES,403144.0,132011.41,63893732.0,484.00158743854035,138.14484504165807,134.17161962923703,2023-06-16,2023-07-15,626.8899999999998,359.308
2023,2,TOTAL LEGUMES,310164.0,86046.69999999998,43897246.0,510.15606641509794,138.7351480956996,113.4491818072672,2023-02-16,2023-03-15,959.35,536.538
