date,year,afghanistan,albania,algeria,andorra,angola,anguilla,antarctica,argentina,armenia,aruba,australia,austria,azerbaijan,bahamas,bahrain,bangladesh,barbados,belarus,belgium,belize,benin,bhutan,bolivia,bosnia-and-herzegovina,botswana,brazil,bulgaria,burma,burundi,cabo-verde,cambodia,cameroon,canada,central-african-republic,chad,chile,china,colombia,comoros,congo,costa-rica,croatia,cuba,cyprus,denmark,djibouti,dominica,east-timor,ecuador,egypt,eritrea,estonia,ethiopia,federated-states-of-micronesia,fiji,finland,france,gabon,gambia,georgia,germany,ghana,greece,greenland,grenada,guadeloupe,guam,guatemala,guernsey,guinea,guyana,haiti,honduras,hungary,iceland,india,indonesia,iran,iraq,ireland,islas-baleares,islas-canarias,israel,italy,jamaica,japan,jersey,jordan,kazakhstan,kenya,kiribati,kuwait,kyrgyzstan,laos,latvia,lebanon,lesotho,liberia,libya,liechtenstein,lithuania,luxembourg,macau,macedonia,madagascar,malawi,malaysia,mali,malta,martinique,mauritania,mauritius,mayotte,mexico,moldova,monaco,mongolia,montenegro,montserrat,morocco,mozambique,namibia,nepal,netherlands,new-zealand,nicaragua,niger,nigeria,niue,north-korea,norway,oman,pakistan,palau,palestina,panama,paraguay,peru,philippines,poland,portugal,qatar,reunion,romania,russia,rwanda,samoa,saudi-arabia,senegal,serbia,seychelles,singapore,slovakia,slovenia,solomon-islands,somalia,south-africa,south-korea,spain,sudan,suriname,swaziland,sweden,switzerland,syria,taiwan,tajikistan,tanzania,tasmania,thailand,the-bahamas,timor,togo,tonga,tunisia,turkey,turkmenistan,uganda,ukraine,united-kingdom,united-states-of-america,uruguay,uzbekistan,venezuela,vietnam,yemen,zambia,zimbabwe
1743-11-15,1743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.399,,,,,,,,,,,,,,,,,,10.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744-04-15,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.742,,,,,,,,,,,,,,,,,,9.742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744-05-15,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.658,,,,,,,,,,,,,,,,,,10.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744-06-15,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.774,,,,,,,,,,,,,,,,,,13.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744-07-15,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.252,,,,,,,,,,,,,,,,,,15.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744-09-15,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12,,,,,,,,,,,,,,,,,,14.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744-10-15,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.862,,,,,,,,,,,,,,,,,,11.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744-11-15,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.846,,,,,,,,,,,,,,,,,,9.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1744-12-15,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.493,,,,,,,,,,,,,,,,,,7.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745-01-15,1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1745-02-15,1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.082,,,,,,,,,,,,,,,,,,5.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
