dt,AverageTemperature,Year,Month,Days delta,Season,MA,Season offset
1910-01-01,6.99,1910.0,1,0,0,,
1910-02-01,8.192,1910.0833333333333,2,31,0,,
1910-03-01,9.368,1910.1666666666667,3,59,1,,
1910-04-01,11.06,1910.25,4,90,1,,
1910-05-01,13.82,1910.3333333333333,5,120,1,,
1910-06-01,17.528000000000002,1910.4166666666667,6,151,2,,
1910-07-01,17.858,1910.5,7,181,2,,
1910-08-01,18.434,1910.5833333333333,8,212,2,,
1910-09-01,15.646,1910.6666666666667,9,243,3,,
1910-10-01,13.704,1910.75,10,273,3,,
1910-11-01,8.84,1910.8333333333333,11,304,3,,
1910-12-01,8.475,1910.9166666666667,12,334,0,12.492916666666668,-4.017916666666668
1911-01-01,4.67,1911.0,1,365,0,12.299583333333333,-7.629583333333333
1911-02-01,7.387,1911.0833333333333,2,396,0,12.232500000000002,-4.845500000000002
1911-03-01,9.246,1911.1666666666667,3,424,1,12.222333333333333,-2.976333333333333
1911-04-01,10.793,1911.25,4,455,1,12.200083333333332,-1.4070833333333326
1911-05-01,15.140999999999998,1911.3333333333333,5,485,1,12.310166666666667,2.830833333333331
1911-06-01,17.305999999999997,1911.4166666666667,6,516,2,12.291666666666666,5.014333333333331
1911-07-01,21.182,1911.5,7,546,2,12.568666666666667,8.613333333333332
1911-08-01,21.523000000000003,1911.5833333333333,8,577,2,12.826083333333335,8.696916666666668
1911-09-01,18.393,1911.6666666666667,9,608,3,13.055,5.338000000000001
1911-10-01,13.168,1911.75,10,638,3,13.010333333333335,0.15766666666666396
1911-11-01,10.204,1911.8333333333333,11,669,3,13.124,-2.92
1911-12-01,8.942,1911.9166666666667,12,699,0,13.162916666666666,-4.220916666666666
1912-01-01,7.365,1912.0,1,730,0,13.387500000000001,-6.022500000000001
1912-02-01,9.404,1912.0833333333333,2,761,0,13.555583333333333,-4.151583333333333
1912-03-01,11.161,1912.1666666666667,3,790,1,13.715166666666667,-2.554166666666667
1912-04-01,11.511,1912.25,4,821,1,13.775,-2.264000000000001
1912-05-01,15.651,1912.3333333333333,5,851,1,13.8175,1.833499999999999
1912-06-01,17.217000000000002,1912.4166666666667,6,882,2,13.810083333333333,3.4069166666666693
1912-07-01,18.886,1912.5,7,912,2,13.618749999999999,5.267250000000001
1912-08-01,16.872999999999998,1912.5833333333333,8,943,2,13.231249999999998,3.64175
1912-09-01,13.873,1912.6666666666667,9,974,3,12.854583333333332,1.018416666666667
1912-10-01,12.067,1912.75,10,1004,3,12.762833333333333,-0.6958333333333329
1912-11-01,8.469,1912.8333333333333,11,1035,3,12.618250000000002,-4.149250000000002
1912-12-01,8.007,1912.9166666666667,12,1065,0,12.540333333333335,-4.533333333333335
1913-01-01,7.909000000000002,1913.0,1,1096,0,12.585666666666667,-4.676666666666665
1913-02-01,7.447,1913.0833333333333,2,1127,0,12.422583333333334,-4.975583333333334
1913-03-01,10.507,1913.1666666666667,3,1155,1,12.368083333333333,-1.8610833333333332
1913-04-01,11.422999999999998,1913.25,4,1186,1,12.360750000000001,-0.937750000000003
1913-05-01,14.783,1913.3333333333333,5,1216,1,12.288416666666665,2.4945833333333347
1913-06-01,17.429000000000002,1913.4166666666667,6,1247,2,12.306083333333333,5.122916666666669
1913-07-01,17.655,1913.5,7,1277,2,12.2035,5.451500000000001
1913-08-01,18.551,1913.5833333333333,8,1308,2,12.343333333333334,6.207666666666665
1913-09-01,16.519000000000002,1913.6666666666667,9,1339,3,12.563833333333333,3.9551666666666687
1913-10-01,14.022,1913.75,10,1369,3,12.726750000000001,1.2952499999999993
1913-11-01,11.64,1913.8333333333333,11,1400,3,12.991,-1.350999999999999
1913-12-01,7.077000000000001,1913.9166666666667,12,1430,0,12.913499999999999,-5.836499999999998
1914-01-01,4.209,1914.0,1,1461,0,12.605166666666667,-8.396166666666668
1914-02-01,9.054,1914.0833333333333,2,1492,0,12.739083333333333,-3.685083333333333
1914-03-01,10.286,1914.1666666666667,3,1520,1,12.720666666666666,-2.4346666666666668
1914-04-01,13.364,1914.25,4,1551,1,12.88241666666667,0.48158333333333125
1914-05-01,14.151,1914.3333333333333,5,1581,1,12.829749999999999,1.321250000000001
1914-06-01,16.748,1914.4166666666667,6,1612,2,12.773000000000001,3.9749999999999996
1914-07-01,18.451,1914.5,7,1642,2,12.839333333333334,5.611666666666666
1914-08-01,19.114,1914.5833333333333,8,1673,2,12.886250000000002,6.227749999999999
1914-09-01,16.614,1914.6666666666667,9,1704,3,12.894166666666669,3.719833333333332
1914-10-01,12.765999999999998,1914.75,10,1734,3,12.789499999999999,-0.0235000000000003
1914-11-01,9.042,1914.8333333333333,11,1765,3,12.573,-3.5310000000000006
1914-12-01,8.478,1914.9166666666667,12,1795,0,12.689750000000002,-4.211750000000002
1915-01-01,6.681,1915.0,1,1826,0,12.89575,-6.2147499999999996
1915-02-01,7.341,1915.0833333333333,2,1857,0,12.753,-5.412
1915-03-01,8.902999999999999,1915.1666666666667,3,1885,1,12.637749999999999,-3.73475
1915-04-01,11.041,1915.25,4,1916,1,12.444166666666666,-1.4031666666666656
1915-05-01,16.090999999999998,1915.3333333333333,5,1946,1,12.605833333333335,3.4851666666666627
1915-06-01,18.514,1915.4166666666667,6,1977,2,12.753,5.760999999999999
1915-07-01,18.751,1915.5,7,2007,2,12.778,5.973000000000001
1915-08-01,18.723,1915.5833333333333,8,2038,2,12.745416666666666,5.9775833333333335
1915-09-01,16.147000000000002,1915.6666666666667,9,2069,3,12.706499999999998,3.4405000000000037
1915-10-01,11.808,1915.75,10,2099,3,12.626666666666667,-0.8186666666666671
1915-11-01,7.962999999999999,1915.8333333333333,11,2130,3,12.53675,-4.57375
1915-12-01,9.455,1915.9166666666667,12,2160,0,12.618166666666665,-3.1631666666666653
1916-01-01,8.728,1916.0,1,2191,0,12.78875,-4.0607500000000005
1916-02-01,7.643000000000002,1916.0833333333333,2,2222,0,12.813916666666666,-5.170916666666664
1916-03-01,8.997000000000002,1916.1666666666667,3,2251,1,12.821750000000002,-3.82475
1916-04-01,11.906,1916.25,4,2282,1,12.893833333333333,-0.9878333333333327
1916-05-01,15.470999999999998,1916.3333333333333,5,2312,1,12.842166666666666,2.6288333333333327
1916-06-01,15.72,1916.4166666666667,6,2343,2,12.609333333333332,3.1106666666666687
1916-07-01,18.434,1916.5,7,2373,2,12.582916666666668,5.851083333333333
1916-08-01,19.151,1916.5833333333333,8,2404,2,12.618583333333333,6.532416666666666
1916-09-01,15.69,1916.6666666666667,9,2435,3,12.5805,3.109499999999999
1916-10-01,13.325,1916.75,10,2465,3,12.706916666666666,0.6180833333333329
1916-11-01,9.79,1916.8333333333333,11,2496,3,12.859166666666667,-3.0691666666666677
1916-12-01,7.292999999999999,1916.9166666666667,12,2526,0,12.679000000000002,-5.386000000000003
1917-01-01,4.573,1917.0,1,2557,0,12.332749999999999,-7.759749999999999
1917-02-01,4.8420000000000005,1917.0833333333333,2,2588,0,12.099333333333334,-7.257333333333333
1917-03-01,7.502000000000002,1917.1666666666667,3,2616,1,11.97475,-4.472749999999999
1917-04-01,9.512,1917.25,4,2647,1,11.775250000000002,-2.263250000000001
1917-05-01,16.552,1917.3333333333333,5,2677,1,11.865333333333334,4.686666666666666
1917-06-01,18.831,1917.4166666666667,6,2708,2,12.124583333333334,6.706416666666666
1917-07-01,19.399,1917.5,7,2738,2,12.205,7.194000000000001
1917-08-01,18.226,1917.5833333333333,8,2769,2,12.127916666666666,6.098083333333333
1917-09-01,17.736,1917.6666666666667,9,2800,3,12.298416666666668,5.4375833333333325
